Company name,Industry,City,County,Zip code,Date,Claimants,Wages owed,Industry_clean,company_id,industry_stolen,industry_total_claimants,industry_avg_loss_per_worker,company_total_wages,company_total_claimants,company_avg_loss_per_worker,county_total_wages,county_total_cases
Bhatti Group LLC,Automotive - General,Albany,Albany County,12202,2020-02-13,4,56999.99,Automotive,bhatti-group-llc,6809323.82,6443,1056.8560949868074,56999.99,4,14249.9975,7516825.93,816
Trident Construction,Construction - Commercial And Institutional Building Construction,Plainview,Nassau County,11803,2013-10-31,15,56876.42,Construction,trident-construction,61023694.45,20078,3039.3313303117843,56876.42,15,3791.7613333333334,58900272.76,3252
Spot Latino 58,Office,Woodside,Queens County,11377,2014-01-17,3,56875.76,Other,spot-latino-58,147547188.43,98576,1496.786118629281,56875.76,3,18958.586666666666,82459395.43,4259
CEM Construction,Construction - Commercial And Institutional Building Construction,Amityville,Suffolk County,11701,2014-04-01,7,56875.35,Construction,cem-construction,61023694.45,20078,3039.3313303117843,67222.86,12,5601.905,53899585.56,3018
VIP Country Club,Restaurants - Table Service,New Rochelle,Westchester County,10805,2021-10-05,249,56865.0,Food Services,vip-country-club,149672052.18,66102,2264.2590569120453,56865.0,249,228.3734939759036,22226095.1,2016
Lantern Diner,Restaurants - Full-Service Restaurants,West Hempstead,Nassau County,11552,2015-10-18,44,56808.9,Food Services,lantern-diner,149672052.18,66102,2264.2590569120453,56808.9,44,1291.1113636363636,58900272.76,3252
Greenparc,Janitorial Services- Cleaning/Janitorial Services,New York,New York County,10003,2022-06-18,71,56806.97,Other,greenparc,147547188.43,98576,1496.786118629281,56806.97,71,800.0981690140845,96159726.15,6430
Honest Indian Restaurant,Restaurants - Table Service,Hicksville,Nassau County,11801,2018-08-27,10,56777.1,Food Services,honest-indian-restaurant,149672052.18,66102,2264.2590569120453,56777.1,10,5677.71,58900272.76,3252
Gai Tho and Himalaya Restaurant,Restaurants - Table Service,Elmhurst,Queens County,11373,2020-03-03,2,56759.75,Food Services,gai-tho-and-himalaya-restaurant,149672052.18,66102,2264.2590569120453,56759.75,2,28379.875,82459395.43,4259
Quetzalcoatl Fine Mexican Cuisine,Restaurants - Full-Service Restaurants,Huntington,Suffolk County,11743,2017-04-08,11,56717.3,Food Services,quetzalcoatl-fine-mexican-cuisine,149672052.18,66102,2264.2590569120453,56717.3,11,5156.118181818182,53899585.56,3018
Donnan Farms,Farming - General,Piffard,Livingston County,14533,2014-11-18,36,56710.26,Farming,donnan-farms,4166535.61,3490,1193.8497449856734,56710.26,36,1575.285,369366.54,97
"Yossi's 13, Corp.",Other,Brooklyn,Kings County,11218,2015-09-14,5,56704.88,Other,yossi-s-13-corp,147547188.43,98576,1496.786118629281,56704.88,5,11340.975999999999,87588061.27,4731
Wyoming County Community Health System,Healthcare - Nursing Care Facilities,Warsaw,Wyoming County,14569,2017-01-01,93,56687.72,Healthcare,wyoming-county-community-health-system,86413131.15,57682,1498.0952662875768,56687.72,93,609.545376344086,205786.36000000002,46
O's Eatery,Restaurants - Limited-Service Restaurants,Chatham,Columbia County,12037,2018-06-24,23,56656.31,Food Services,o-s-eatery,149672052.18,66102,2264.2590569120453,56656.31,23,2463.3178260869563,924166.3,116
Good Life Restaurant,Restaurants - Full-Service Restaurants,Massapequa Park,Nassau County,11762,2014-06-22,39,56637.29,Food Services,good-life-restaurant,149672052.18,66102,2264.2590569120453,56637.29,39,1452.2382051282052,58900272.76,3252
Despana Brand Food,Restaurants - Table Service,Jackson Heights,Queens County,11372,2018-05-09,9,56581.96,Food Services,despana-brand-food,149672052.18,66102,2264.2590569120453,56581.96,9,6286.884444444444,82459395.43,4259
Negin Yadidi,Domestic - General,Great Neck,Nassau County,11024,2019-08-09,1,56543.25,Other,negin-yadidi,147547188.43,98576,1496.786118629281,56543.25,1,56543.25,58900272.76,3252
China Gourmet,Restaurants - Chinese Take Out,New York,New York County,10019,2021-06-09,4,56379.81,Food Services,china-gourmet,149672052.18,66102,2264.2590569120453,56379.81,4,14094.9525,96159726.15,6430
Gra Bar Inc,Delivery/Freight Transporation - Delivery,Westbury,Nassau County,11590,2016-02-12,6,56349.58,Delivery/Transportation,gra-bar-inc,22069415.419999998,30474,724.204745684846,56349.58,6,9391.596666666666,58900272.76,3252
West Glens Falls EMS,Healthcare - Medical Transport,Queensbury,Warren County,12804,2021-12-23,17,56337.97,Healthcare,west-glens-falls-ems,86413131.15,57682,1498.0952662875768,56337.97,17,3313.998235294118,1147526.67,221
Roc N Burgers,Restaurants - Pizzeria,Williamsville,Erie County,14221,2018-02-20,336,56296.75,Food Services,roc-n-burgers,149672052.18,66102,2264.2590569120453,107764.23999999999,351,307.02062678062674,15179552.14,2192
Griffon Gastropub,Restaurants - Bar/Pub,Williamsville,Erie County,14221,2017-11-13,151,56280.22,Food Services,griffon-gastropub,149672052.18,66102,2264.2590569120453,56280.22,151,372.71668874172184,15179552.14,2192
Rodos Manufacturing Cabinets,Other,Brooklyn,Kings County,11222,2012-03-22,2,56242.5,Other,rodos-manufacturing-cabinets,147547188.43,98576,1496.786118629281,56242.5,2,28121.25,87588061.27,4731
San Soo Kap San Korea Restaurant,Restaurants - Full-Service Restaurants,Flushing,Queens County,11354,2012-01-29,17,56178.52,Food Services,san-soo-kap-san-korea-restaurant,149672052.18,66102,2264.2590569120453,56178.52,17,3304.6188235294117,82459395.43,4259
All American Homecare Agency Inc,Healthcare - Home Health Care,New York,New York County,10001,2019-10-09,12,56170.83,Healthcare,all-american-homecare-agency-inc,86413131.15,57682,1498.0952662875768,142627.35,17,8389.844117647059,96159726.15,6430
Three Sisters Restaurant,Restaurants - General,Richmond Hill,Queens County,11418,2013-08-28,1,56157.0,Food Services,three-sisters-restaurant,149672052.18,66102,2264.2590569120453,56157.0,1,56157.0,82459395.43,4259
Bronx Shephard Restoration Corp,Building Service,Bronx,Bronx County,10457,2023-11-30,1,56070.0,Construction,bronx-shephard-restoration-corp,61023694.45,20078,3039.3313303117843,56070.0,1,56070.0,27745338.03,1765
Millers Landscaping,Other,Pound Ridge,Westchester County,10576,2014-06-05,31,56029.81,Other,millers-landscaping,147547188.43,98576,1496.786118629281,56029.81,31,1807.4132258064515,22226095.1,2016
Luxy Nails,Beauty - Nail Salon,Syosset,Nassau County,11791,2020-09-18,6,55976.6,Other,luxy-nails,147547188.43,98576,1496.786118629281,55976.6,6,9329.433333333332,58900272.76,3252
Capstone Center for Rehabilitation & Nursing,Healthcare - Nursing Care Facilities,Amsterdam,Montgomery County,12010,2014-02-27,81,55924.27,Healthcare,capstone-center-for-rehabilitation-nursing,86413131.15,57682,1498.0952662875768,55924.27,81,690.4230864197531,377785.11,67
Nazca Restaurant,Restaurants - Table Service,Astoria,Queens County,11106,2019-07-11,3,55898.0,Food Services,nazca-restaurant,149672052.18,66102,2264.2590569120453,58440.0,4,14610.0,82459395.43,4259
Noor Staffing Group,Employment - Employment Placement Agencies,New York,New York County,10017,2016-12-14,100,55835.81,Other,noor-staffing-group,147547188.43,98576,1496.786118629281,55835.81,100,558.3580999999999,96159726.15,6430
Riu Hotel,Hotels - General,New York,New York County,10036,2016-10-07,69,55827.2,Other,riu-hotel,147547188.43,98576,1496.786118629281,59806.469999999994,79,757.0439240506329,96159726.15,6430
Envy Nails,Other,Jamaica,Queens County,11432,2014-07-23,7,55801.4,Other,envy-nails,147547188.43,98576,1496.786118629281,121725.57,22,5532.980454545454,82459395.43,4259
Universal Restoration,Other,Brooklyn,Kings County,11222,2012-03-14,15,55799.25,Other,universal-restoration,147547188.43,98576,1496.786118629281,185923.51,25,7436.9404,87588061.27,4731
Gary & Paget Stanco,Domestic - General,Rye,Westchester County,10580,2022-05-05,2,55789.45,Other,gary-paget-stanco,147547188.43,98576,1496.786118629281,55789.45,2,27894.725,22226095.1,2016
FragranceX.Com,Warehousing And Storage - Other Warehousing And Storage,Hauppauge,Suffolk County,11788,2014-11-01,105,55777.29,Other,fragrancex-com,147547188.43,98576,1496.786118629281,55777.29,105,531.2122857142857,53899585.56,3018
La Finca Fruits & Vegetables,Groceries/Food - Misc Supermarket,Brooklyn,Kings County,11206,2019-02-28,3,55760.25,Groceries,la-finca-fruits-vegetables,20303227.0,43316,468.72349709114417,55760.25,3,18586.75,87588061.27,4731
Theos Chicken Corp. & Harlem Chicken LLC T/A Chirping Chicken,Restaurants - Diner,New York,New York County,10039,2020-01-15,1,55758.75,Food Services,theos-chicken-corp-harlem-chicken-llc-t-a-chirping-chicken,149672052.18,66102,2264.2590569120453,55758.75,1,55758.75,96159726.15,6430
Clinton Delicatessen Inc,Restaurants - General,Hempstead,Nassau County,11550,2013-10-23,5,55709.75,Food Services,clinton-delicatessen-inc,149672052.18,66102,2264.2590569120453,55709.75,5,11141.95,58900272.76,3252
John D Crawford Jr Inc,Restaurants - Table Service,Pittsford,Monroe County,14534,2023-03-24,76,55706.03,Food Services,john-d-crawford-jr-inc,149672052.18,66102,2264.2590569120453,55706.03,76,732.9740789473684,9322789.01,1383
Wing & Sing Poultry Market Inc.,Other,Brooklyn,Kings County,11232,2015-04-21,8,55667.46,Other,wing-sing-poultry-market-inc,147547188.43,98576,1496.786118629281,55667.46,8,6958.4325,87588061.27,4731
A+ Towel & Linen Supply,Laundry - Linen Supply,Farmingdale,Suffolk County,11735,2019-02-28,7,55656.81,Other,a-towel-linen-supply,147547188.43,98576,1496.786118629281,55656.81,7,7950.972857142857,53899585.56,3018
Action Tire Retreaders Inc.,Manufacturing - Tire Retreading,Deer Park,Suffolk County,11729,2013-02-20,22,55621.88,Manufacturing,action-tire-retreaders-inc,8985644.36,6052,1484.7396497025775,55621.88,22,2528.2672727272725,53899585.56,3018
Sansone Food Products Co,Groceries/Food - All Other Specialty Food Stores,New Hyde Park,Nassau County,11040,2016-01-01,10,55598.92,Groceries,sansone-food-products-co,20303227.0,43316,468.72349709114417,55598.92,10,5559.892,58900272.76,3252
Sperry Tents of Long Island,Retail - Misc,Bridgehampton,Suffolk County,11932,2023-05-16,1,55500.0,Retail,sperry-tents-of-long-island,14204964.71,7085,2004.9350331686662,55500.0,1,55500.0,53899585.56,3018
New Horizon Carpet Inc.,Construction - Tile And Terrazzo Contractors,Valley Stream,Nassau County,11580,2012-10-06,9,55448.6,Construction,new-horizon-carpet-inc,61023694.45,20078,3039.3313303117843,88267.26999999999,12,7355.605833333332,58900272.76,3252
City Limits Auto Center,Automotive - General,Yonkers,Westchester County,10704,2018-01-11,5,55441.13,Automotive,city-limits-auto-center,6809323.82,6443,1056.8560949868074,55441.13,5,11088.225999999999,22226095.1,2016
Maharaja Farmers Market (Hicksville),Groceries/Food - Supermarkets And Other Grocery (Except Convenience) Stores,Hicksville,Nassau County,11801,2016-11-08,48,55435.41,Groceries,maharaja-farmers-market-hicksville,20303227.0,43316,468.72349709114417,55435.41,48,1154.904375,58900272.76,3252
Shell (East Islip),Gas Stations - Gasoline Stations With Convenience Stores,East Islip,Suffolk County,11730,2013-02-10,7,55407.77,Other,shell-east-islip,147547188.43,98576,1496.786118629281,55407.77,7,7915.395714285713,53899585.56,3018
Eastco Building Services,Facilities Support Services,Deer Park,Suffolk County,11729,2015-02-21,9,55395.86,Other,eastco-building-services,147547188.43,98576,1496.786118629281,55395.86,9,6155.095555555556,53899585.56,3018
Key Food Marketplace (1812 Hanra),Groceries/Food - Supermarkets And Other Grocery (Except Convenience) Stores,Flushing,Queens County,11367,2017-11-15,43,55364.41,Groceries,key-food-marketplace-1812-hanra,20303227.0,43316,468.72349709114417,55364.41,43,1287.5444186046514,82459395.43,4259
Brightstar Health Care,Other,New York,New York County,10001,2012-12-03,7,55322.28,Other,brightstar-health-care,147547188.43,98576,1496.786118629281,55322.28,7,7903.182857142857,96159726.15,6430
Tommy's Auto Repair and Detail Center,Automotive - Automotive Mechanical And Electrical Repair And Maintenance,Brooklyn,Kings County,11223,2023-01-16,7,55320.0,Automotive,tommy-s-auto-repair-and-detail-center,6809323.82,6443,1056.8560949868074,55320.0,7,7902.857142857143,87588061.27,4731
Seattle Cafe,Restaurants - General,Long Island City,Queens County,11101,2012-05-22,5,55319.09,Food Services,seattle-cafe,149672052.18,66102,2264.2590569120453,74796.26,20,3739.8129999999996,82459395.43,4259
R.C.M. Electric Corp,Other,Brooklyn,Kings County,11223,2017-07-27,9,55279.5,Other,r-c-m-electric-corp,147547188.43,98576,1496.786118629281,55279.5,9,6142.166666666667,87588061.27,4731
Carroll Gardens Plumbing Supply LLC,Retail - Misc,Brookyn,Kings County,11231,2018-11-15,9,55254.87,Retail,carroll-gardens-plumbing-supply-llc,14204964.71,7085,2004.9350331686662,55254.87,9,6139.43,87588061.27,4731
Alliance Mechanical Group Inc,Construction -General,Bronx,Bronx County,10475,2020-01-15,3,55252.68,Construction,alliance-mechanical-group-inc,61023694.45,20078,3039.3313303117843,64467.68,4,16116.92,27745338.03,1765
Stark Group International Inc T/A Stark Foods,Other,Greenvale,Nassau County,11548,2016-10-19,27,55207.79,Other,stark-group-international-inc-t-a-stark-foods,147547188.43,98576,1496.786118629281,55207.79,27,2044.732962962963,58900272.76,3252
Tommys Famous Cheesesteak & Pizza,Restaurants - Pizzeria,Brooklyn,Kings County,11215,2016-01-08,5,55196.17,Food Services,tommys-famous-cheesesteak-pizza,149672052.18,66102,2264.2590569120453,55196.17,5,11039.234,87588061.27,4731
Porto Fino Ristorante,Restaurants - Pizzeria,Levittown,Nassau County,11756,2016-07-14,3,55164.71,Food Services,porto-fino-ristorante,149672052.18,66102,2264.2590569120453,55164.71,3,18388.236666666668,58900272.76,3252
"Compass Construction of New York Co., Inc.",Construction -General,Brooklyn,Kings County,11222,2018-09-11,5,55148.5,Construction,compass-construction-of-new-york-co-inc,61023694.45,20078,3039.3313303117843,55148.5,5,11029.7,87588061.27,4731
Fitness Resource,Manufacturing - Sporting And Athletic Goods Manufacturing,Plainview,Nassau County,11803,2019-07-14,10,55089.88,Manufacturing,fitness-resource,8985644.36,6052,1484.7396497025775,55089.88,10,5508.987999999999,58900272.76,3252
Islandwide Transportation Inc/ Source Management Inc,Transportation Personal,Middle Island,Suffolk County,11953,2016-05-23,71,55060.87,Delivery/Transportation,islandwide-transportation-inc-source-management-inc,22069415.419999998,30474,724.204745684846,55060.87,71,775.5052112676057,53899585.56,3018
Houlihan's,Restaurants - Full-Service Restaurants,Westbury,Nassau County,11590,2015-05-31,84,55040.65,Food Services,houlihan-s,149672052.18,66102,2264.2590569120453,55040.65,84,655.2458333333334,58900272.76,3252
Tao's Fusion,Restaurants - General,Selden,Suffolk County,11784,2018-06-13,2,55004.81,Food Services,tao-s-fusion,149672052.18,66102,2264.2590569120453,55004.81,2,27502.405,53899585.56,3018
7E Food Corp,Restaurants - Fast Food Chain,New York,New York County,10003,2019-02-15,1,55000.0,Groceries,7e-food-corp,20303227.0,43316,468.72349709114417,55000.0,1,55000.0,96159726.15,6430
Flor Azteca Deli and Grocery,Restaurants - Deli,Corona,Queens County,11368,2020-11-02,1,55000.0,Food Services,flor-azteca-deli-and-grocery,149672052.18,66102,2264.2590569120453,55000.0,1,55000.0,82459395.43,4259
Sour Mouse,Restaurants - Bar/Pub,New York,New York County,10002,2023-03-27,2,55000.0,Food Services,sour-mouse,149672052.18,66102,2264.2590569120453,55000.0,2,27500.0,96159726.15,6430
J & G Laundromat,Other,New York,New York County,10032,2015-03-26,4,54952.56,Other,j-g-laundromat,147547188.43,98576,1496.786118629281,54952.56,4,13738.14,96159726.15,6430
Fusion Bistro & Cocktail Lounge,Construction -General,Long Island City,Queens County,11101,2017-03-20,6,54924.92,Construction,fusion-bistro-cocktail-lounge,61023694.45,20078,3039.3313303117843,54924.92,6,9154.153333333334,82459395.43,4259
Shining Star Home Health Services,Healthcare - Home Health Care Services,Brooklyn,Kings County,11204,2021-11-13,3,54875.94,Healthcare,shining-star-home-health-services,86413131.15,57682,1498.0952662875768,54875.94,3,18291.98,87588061.27,4731
Delucas Italian Restaurant/7324 Amboy Road LLC,Restaurants - Table Service,Staten Island,Richmond County,10307,2018-11-20,13,54845.29,Food Services,delucas-italian-restaurant-7324-amboy-road-llc,149672052.18,66102,2264.2590569120453,54845.29,13,4218.868461538462,9999766.05,569
Classic Home Care,Healthcare - Home Health Care Services,Bronx,Bronx County,10458,2022-09-30,47,54835.23,Healthcare,classic-home-care,86413131.15,57682,1498.0952662875768,54835.23,47,1166.707021276596,27745338.03,1765
Sky Materials Corp./Sky Structures Corp./Prime Mix corp.,Construction -General,Brooklyn,Kings County,11222,2023-09-26,5,54822.5,Construction,sky-materials-corp-sky-structures-corp-prime-mix-corp,61023694.45,20078,3039.3313303117843,54822.5,5,10964.5,87588061.27,4731
Mi Tierrita Restaurant,Restaurants - General,Brentwood,Suffolk County,11717,2012-11-30,20,54808.5,Food Services,mi-tierrita-restaurant,149672052.18,66102,2264.2590569120453,54808.5,20,2740.425,53899585.56,3018
Above All Storefronts Inc,Other,Hauppauge,Suffolk County,11788,2014-03-31,7,54749.81,Other,above-all-storefronts-inc,147547188.43,98576,1496.786118629281,54749.81,7,7821.401428571428,53899585.56,3018
Carreros Food Truck,Restaurants - Fast Food Truck,Chester,Orange County,10918,2019-06-20,1,54709.2,Groceries,carreros-food-truck,20303227.0,43316,468.72349709114417,54709.2,1,54709.2,4359072.06,629
Anchor Bar,Restaurants - Full-Service Restaurants,Buffalo,Erie County,14226,2018-10-20,18,54703.56,Food Services,anchor-bar,149672052.18,66102,2264.2590569120453,77766.73999999999,25,3110.6695999999997,15179552.14,2192
Caridad China,Restaurants - Table Service,Brooklyn,Kings County,11206,2018-01-09,16,54664.84,Food Services,caridad-china,149672052.18,66102,2264.2590569120453,54664.84,16,3416.5525,87588061.27,4731
Guacamole Taqueria,Restaurants - Table Service,New York,New York County,10034,2018-01-25,51,54657.03,Food Services,guacamole-taqueria,149672052.18,66102,2264.2590569120453,54657.03,51,1071.7064705882353,96159726.15,6430
Han Dynasty,Restaurants - General,New York,New York County,10003,2015-06-09,2,54654.75,Food Services,han-dynasty,149672052.18,66102,2264.2590569120453,54654.75,2,27327.375,96159726.15,6430
Ciao Bella Napoli,Restaurants - Table Service,New York,New York County,10001,2017-02-27,3,54637.85,Food Services,ciao-bella-napoli,149672052.18,66102,2264.2590569120453,54637.85,3,18212.616666666665,96159726.15,6430
Olive 1 LLC T/A Easy Shopping Furniture Store,Retail - Misc,New York,New York County,10029,2018-06-13,2,54637.25,Retail,olive-1-llc-t-a-easy-shopping-furniture-store,14204964.71,7085,2004.9350331686662,54637.25,2,27318.625,96159726.15,6430
Nonna Delia's Brick Oven Pizzeria & Ristorante,Restaurants - Table Service,College Point,Queens County,11356,2019-07-03,8,54618.01,Food Services,nonna-delia-s-brick-oven-pizzeria-ristorante,149672052.18,66102,2264.2590569120453,54618.01,8,6827.25125,82459395.43,4259
Stefanos Pizzeria,Restaurants - Pizzeria,Mexico,Oswego County,13114,2019-09-16,102,54617.12,Food Services,stefanos-pizzeria,149672052.18,66102,2264.2590569120453,54617.12,102,535.4619607843138,1016546.34,109
Ristorante Venere,Restaurants - Full-Service Restaurants,Westbury,Nassau County,11590,2013-09-07,9,54607.5,Food Services,ristorante-venere,149672052.18,66102,2264.2590569120453,73716.69,11,6701.517272727273,58900272.76,3252
Primos Pasta Pots,Restaurants - General,Mineola,Nassau County,11501,2015-06-15,4,54540.82,Food Services,primos-pasta-pots,149672052.18,66102,2264.2590569120453,54540.82,4,13635.205,58900272.76,3252
Gavi Restaurant,Restaurants - General,Armonk,Westchester County,10504,2012-04-17,3,54530.43,Food Services,gavi-restaurant,149672052.18,66102,2264.2590569120453,54530.43,3,18176.81,22226095.1,2016
Islamic Cultural Center School,Education - Elementary And Secondary Schools,New York,New York County,10029,2024-01-28,32,54506.35,Education,islamic-cultural-center-school,5153001.45,5256,980.4036244292238,54506.35,32,1703.3234375,96159726.15,6430
Victor Ozeri,Domestic - General,New York,New York County,10026,2018-04-13,1,54496.5,Other,victor-ozeri,147547188.43,98576,1496.786118629281,54496.5,1,54496.5,96159726.15,6430
OK Petroleum,Gas Stations - Gasoline Stations With Convenience Stores,West Babylon,Suffolk County,11704,2013-07-26,16,54406.7,Other,ok-petroleum,147547188.43,98576,1496.786118629281,78564.7,23,3415.85652173913,53899585.56,3018
"Nepperhan Community Center, Inc.",Social Advocacy Organizations,Yonkers,Westchester County,10701,2013-07-05,111,54368.06,Other,nepperhan-community-center-inc,147547188.43,98576,1496.786118629281,54368.06,111,489.80234234234234,22226095.1,2016
Ciros Place,Restaurants - General,Albany,Albany County,12204,2012-07-25,23,54359.28,Food Services,ciros-place,149672052.18,66102,2264.2590569120453,54359.28,23,2363.446956521739,7516825.93,816
Dunkin Donuts - Penn Yan,Restaurants - Limited-Service Restaurants,Penn Yan,Yates County,14527,2014-06-21,10,54351.84,Food Services,dunkin-donuts-penn-yan,149672052.18,66102,2264.2590569120453,54351.84,10,5435.183999999999,378680.49,32
Ninety Five South Inc,Janitorial Services- Cleaning/Janitorial Services,Moriches,Suffolk County,11955,2018-05-19,122,54295.44,Other,ninety-five-south-inc,147547188.43,98576,1496.786118629281,54295.44,122,445.04459016393446,53899585.56,3018
Los Amigos Restaurant,Restaurants - Deli,Coram,Suffolk County,11727,2017-02-21,3,54288.04,Food Services,los-amigos-restaurant,149672052.18,66102,2264.2590569120453,54288.04,3,18096.013333333332,53899585.56,3018
Greenscape of Putnam Inc,Construction - Landscaping,Mahopac,Putnam County,10541,2017-02-14,6,54214.0,Construction,greenscape-of-putnam-inc,61023694.45,20078,3039.3313303117843,54214.0,6,9035.666666666666,1782613.65,155
Pirandello Ristorante,Restaurants - Full-Service Restaurants,Roslyn,Nassau County,11576,2016-07-10,14,54197.29,Food Services,pirandello-ristorante,149672052.18,66102,2264.2590569120453,54197.29,14,3871.235,58900272.76,3252
Guan Hua Fashion Inc,Apparel,Elmhurst,Queens County,11373,2017-04-27,8,54173.9,Other,guan-hua-fashion-inc,147547188.43,98576,1496.786118629281,54173.9,8,6771.7375,82459395.43,4259
P S Management LLC,Building Service,Brooklyn,Kings County,11219,2017-07-06,1,54141.85,Construction,p-s-management-llc,61023694.45,20078,3039.3313303117843,54141.85,1,54141.85,87588061.27,4731
Royal Coach Diner,Restaurants - General,Bronx,Bronx County,10469,2015-08-19,6,54122.46,Food Services,royal-coach-diner,149672052.18,66102,2264.2590569120453,54182.46,7,7740.351428571428,27745338.03,1765
Angels in Your Home,Healthcare - Home Health Care Services,Rochester,Monroe County,14615,2017-05-24,136,54022.68,Healthcare,angels-in-your-home,86413131.15,57682,1498.0952662875768,75552.89,168,449.71958333333333,9322789.01,1383
Delmonics Steak House,Restaurants - General,Clifton Park,Saratoga County,12065,2015-01-22,322,53993.29,Food Services,delmonics-steak-house,149672052.18,66102,2264.2590569120453,53993.29,322,167.6810248447205,2289303.88,493
AllWel,Healthcare - Home Health Care,New York,New York County,10016,2018-03-29,260,53973.55,Healthcare,allwel,86413131.15,57682,1498.0952662875768,96492.47,518,186.27889961389963,96159726.15,6430
RAM Caterers,Restaurants - Caterers,Old Westbury,Nassau County,11568,2016-03-13,60,53956.02,Food Services,ram-caterers,149672052.18,66102,2264.2590569120453,53956.02,60,899.2669999999999,58900272.76,3252
Access Private Nursing,Healthcare - Nursing Care Facilities,Elmsford,Westchester County,10523,2019-03-31,47,53944.21,Healthcare,access-private-nursing,86413131.15,57682,1498.0952662875768,53944.21,47,1147.7491489361703,22226095.1,2016
Joane Nail Salon,Beauty - Nail Salon,Hempstead,Nassau County,11550,2015-05-28,8,53932.35,Other,joane-nail-salon,147547188.43,98576,1496.786118629281,53932.35,8,6741.54375,58900272.76,3252
Cebu Bar & Bistro,Restaurants - Full-Service Restaurants,Brooklyn,Kings County,11209,2012-10-10,18,53924.66,Food Services,cebu-bar-bistro,149672052.18,66102,2264.2590569120453,53924.66,18,2995.8144444444447,87588061.27,4731
East Coast Nurseries,Nursery And Tree Production,Riverhead,Suffolk County,11901,2020-12-20,46,53887.08,Other,east-coast-nurseries,147547188.43,98576,1496.786118629281,53887.08,46,1171.4582608695653,53899585.56,3018
Ginos Pizzeria,Restaurants - General,Howard Beach,Queens County,11414,2012-11-07,4,53870.52,Food Services,ginos-pizzeria,149672052.18,66102,2264.2590569120453,76981.51999999999,9,8553.502222222221,82459395.43,4259
Crosslands Corporate Transportation,Other,Long Island City,Queens County,11106,2015-05-05,1,53630.58,Other,crosslands-corporate-transportation,147547188.43,98576,1496.786118629281,53630.58,1,53630.58,82459395.43,4259
Sil Thread Inc,Retail - Misc,New York,New York County,10018,2016-09-16,18,53615.37,Retail,sil-thread-inc,14204964.71,7085,2004.9350331686662,53615.37,18,2978.6316666666667,96159726.15,6430
Walker's Restaurant,Restaurants - Full-Service Restaurants,New York,New York County,10013,2016-07-27,42,53554.79,Food Services,walker-s-restaurant,149672052.18,66102,2264.2590569120453,53554.79,42,1275.1140476190476,96159726.15,6430
Ballatos Restaurant,Restaurants - General,New York,New York County,10012,2014-07-24,4,53545.5,Food Services,ballatos-restaurant,149672052.18,66102,2264.2590569120453,53545.5,4,13386.375,96159726.15,6430
El Fogon,Restaurants - Office,Corona,Queens County,11368,2014-06-11,1,53526.62,Food Services,el-fogon,149672052.18,66102,2264.2590569120453,53526.62,1,53526.62,82459395.43,4259
Anthonys Asbestos and Mold Removal,Construction -General,Brooklyn,Kings County,11223,2022-11-17,4,53525.0,Construction,anthonys-asbestos-and-mold-removal,61023694.45,20078,3039.3313303117843,53525.0,4,13381.25,87588061.27,4731
Red Line Auto and Tires,Other,Corona,Queens County,11368,2013-10-08,5,53515.73,Other,red-line-auto-and-tires,147547188.43,98576,1496.786118629281,53515.73,5,10703.146,82459395.43,4259
BRP Construction Group LLC,Construction -General,New York,New York County,10017,2016-04-06,2,53515.11,Construction,brp-construction-group-llc,61023694.45,20078,3039.3313303117843,113591.61,4,28397.9025,96159726.15,6430
Tuscany,Restaurants - General,New York,New York County,10019,2012-03-05,8,53500.0,Food Services,tuscany,149672052.18,66102,2264.2590569120453,53500.0,8,6687.5,96159726.15,6430
Francesco's Bakery Bethpage,"Manufacturing - Frozen Cakes, Pies, And Other Pastries Manufacturing",Bethpage,Nassau County,11714,2016-02-11,25,53472.22,Manufacturing,francesco-s-bakery-bethpage,8985644.36,6052,1484.7396497025775,53472.22,25,2138.8888,58900272.76,3252
Place for Achieving Total Medical PC,Other,New York,New York County,10010,2014-10-28,1,53455.21,Other,place-for-achieving-total-medical-pc,147547188.43,98576,1496.786118629281,53455.21,1,53455.21,96159726.15,6430
Morelia Mexican Restaurant Inc t/a Made in Mexico,Restaurants - Table Service,New York,New York County,10034,2020-04-17,38,53375.69,Food Services,morelia-mexican-restaurant-inc-t-a-made-in-mexico,149672052.18,66102,2264.2590569120453,53375.69,38,1404.6234210526316,96159726.15,6430
Pita Gourmet,Restaurants - Limited-Service Restaurants,East Amherst,Erie County,14051,2021-05-23,37,53311.81,Food Services,pita-gourmet,149672052.18,66102,2264.2590569120453,53311.81,37,1440.8597297297297,15179552.14,2192
TOWNE NURSING STAFF,Other,Brooklyn,Kings County,11218,2014-06-30,23,53276.35,Other,towne-nursing-staff,147547188.43,98576,1496.786118629281,53676.35,25,2147.054,87588061.27,4731
Mi Nuevo Rancho Bar - Restaurant/Mr. Burrito Mexican Restaurant,Restaurants - Table Service,Sunnyside,Queens County,11104,2016-12-22,2,53255.0,Food Services,mi-nuevo-rancho-bar-restaurant-mr-burrito-mexican-restaurant,149672052.18,66102,2264.2590569120453,53255.0,2,26627.5,82459395.43,4259
Strategic Security,Other,Smithtown,Suffolk County,11787,2012-09-10,2,53249.36,Other,strategic-security,147547188.43,98576,1496.786118629281,53249.36,2,26624.68,53899585.56,3018
